GS,MS,JPM,
218.76,44.1,84.95,
215.78,43.28,83.91,
214.53,42.94,82.96,
213.99,42.89,82.79,
213.31,42.52,82.64,
215.01,42.61,83.06,
211.26,41.74,82.15,
218.42,42.28,83.9,
223.53,42.84,85.36,
222.47,42.63,85.35,
223.83,42.63,85.71,
219.64,42.42,85.76,
216.02,41.66,84.7,
215.39,41.8,84.78,
215.16,41.31,83.96,
213.72,40.97,84.27,
225.6,43.38,87.61,
225.12,43.43,87.34,
222.82,42.73,86.92,
224.76,42.87,87.16,
224.88,43.1,87.43,
223.76,42.83,86.75,
225.03,43.02,87.1,
226.87,43.08,87,
226.59,43.28,87.1,
226.31,43.48,87,
225.12,43.35,86.5,
224.85,43.74,87.06,
223.8,43.37,87,
225.81,43.54,87.61,
226.2,44.37,88.43,
226.63,44.27,88.26,
223.22,43.56,87.5,
216.86,41.8,84.52,
218.06,42.5,85.55,
214.09,42.04,84.46,
215.59,41.21,85.16,
226.26,41.49,85.86,
223.32,40.69,84.4,
225.75,41.07,85.4,
227.74,41.58,85.73,
228.89,41.91,85.88,
227.88,41.95,86.18,
228.64,42.09,86.48,
227.66,41.74,86.19,
229.26,42.51,87.31,
228.96,42.71,87.52,
229.72,42.84,87.84,
231.22,43.43,89.03,
228.45,42.8,88.27,
229.33,42.49,88.6,
225.48,41.58,87.24,
228.41,42.46,87.29,
231.9,42.59,87.39,
231.07,42.21,87.53,
233,42.66,87.39,
242.14,44.59,90.03,
243.94,45.02,90.68,
248.22,46.33,91.64,
246.78,45.85,91.73,
247.72,46.19,91.51,
248.16,46.26,91.36,
248.38,46.49,91.28,
250.18,46.68,91.57,
250.24,46.39,91.21,
250.9,46.33,91.41,
252.01,46.57,91.92,
252.89,46.83,92.8,
251.06,46.28,92.14,
252.71,46.81,93.6,
248.06,45.67,90.62,
249.33,45.84,90.43,
247.35,45.53,90.33,
251.19,46.58,91.13,
251.73,46.52,91.06,
251.76,46.56,91.01,
250.38,46.15,90.23,
249.44,46.11,90.53,
250.54,46.49,90.59,
249.46,46.04,89.56,
246.27,45.26,88.15,
242.72,44.7,87,
241.55,44.85,87.2,
237.73,43.91,85.96,
239.62,44.87,86.72,
239.98,44.63,86.77,
240.95,44.43,87.18,
230.41,42.13,84.59,
230.67,42.7,84.95,
229.32,42.49,84.63,
233.9,43.12,86.03,
236.95,43.65,86.93,
239.58,44.02,86.75,
237.25,43.86,86.03,
233.68,42.73,84.72,
232.67,41.96,83.71,
232.2,42.59,83.67,
231.41,42.45,83.3,
234.29,42.86,83.94,
235.74,42.15,83.55,
244.3,43.81,86.7,
243.84,43.63,86.24,
245.76,43.67,87.08,
242.57,43.06,86.43,
242.89,42.71,86.18,
244.9,43.85,86.12,
241.32,43.22,86.11,
243.13,43.62,86.91,
241.57,43.05,87.23,
239.45,42.25,86.29,
238.18,42.15,85.89,
240.65,42.62,86.5,
241.56,43.12,87.13,
240.97,43.06,87.05,
240.12,42.79,86.89,
241.44,43.37,86.75,
243.09,43.5,86.53,
239.07,42.83,85.43,
238.9,42.71,84.94,
243,43.01,86,
239.93,42.86,84.73,
238.55,42.56,84.76,
237.17,42.98,84.73,
241.85,43.73,85.49,
241.45,43.58,85.12,
235.56,42.64,84.07,
231.38,42.51,83.69,
228.55,42.09,83.26,
223.36,41.83,81.6,
226.63,42.16,81.79,
219.29,41.36,80.17,
211.75,40.6,78.92,
210.35,40.44,78.32,
211.38,41.1,78.83,
212.31,41.04,78.86,
211.11,40.54,78.53,
211.08,40.56,78.05,
210.35,40.43,77.71,
209.63,39.97,78.02,
206.26,39.19,77.4,
211.19,40,79.36,
209.18,39.35,79.51,
203.94,38.49,76.69,
200.87,38.02,76.65,
192.63,36.52,73.25,
181.92,34.1,70.03,
181.48,34,69.88,
175.92,32.78,67.76,
176.21,32.81,68.38,
176.58,32.92,68.68,
178.06,33.36,68.97,
178.24,33.57,69.26,
177.14,33.52,69.11,
177.75,33.82,69.23,
177.07,33.59,69.13,
175.55,33.35,68.8,
175.12,33.38,68.87,
174.67,33.44,68.49,
174.51,32.9,68.26,
174.51,32.93,68.35,
172.63,32.32,67.7,
169,31.79,67.17,
170.52,32.07,67.52,
167.42,31.73,67.74,
169.3,31.91,68.13,
169.04,32.18,68.31,
171.04,32.56,68.64,
169.83,32.31,68.11,
167.15,32.39,67.87,
166.4,32.56,67.69,
162.27,32.04,66.6,
161.07,31.95,66.51,
161.27,32.06,66.59,
158.95,31.04,65.65,
163.45,31.77,66.71,
162.89,31.35,66.36,
161.48,31.03,65.78,
165.13,31.91,67.25,
